epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,268.501,0.79496,1.88595,0.97865,0.95912,0.322,0.70648,0.59941,0.65008,2.76981,0.8311,0.000448231,0.000448231,0.000448231
43,274.325,0.69342,1.40749,0.92624,0.95912,0.322,0.70648,0.59941,0.65008,2.76981,0.8311,0.000451382,0.000451382,0.000451382
44,280.217,0.79746,1.3951,0.95466,0.8907,0.41539,0.73891,0.63479,0.61362,2.64943,0.82942,0.000454174,0.000454174,0.000454174
45,286.136,0.7759,1.43122,0.98613,0.8907,0.41539,0.73891,0.63479,0.61362,2.64943,0.82942,0.000456605,0.000456605,0.000456605
46,292.353,0.65959,1.48641,0.92055,0.75892,0.51841,0.75256,0.65171,0.58118,2.4332,0.82438,0.000458677,0.000458677,0.000458677
47,298.388,0.76248,1.43697,0.92626,0.75892,0.51841,0.75256,0.65171,0.58118,2.4332,0.82438,0.000460389,0.000460389,0.000460389
48,304.176,0.91274,1.5352,1.06059,0.7176,0.58329,0.75514,0.65129,0.59103,2.22328,0.83021,0.00046174,0.00046174,0.00046174
49,309.96,0.73302,1.86959,0.98947,0.7176,0.58329,0.75514,0.65129,0.59103,2.22328,0.83021,0.000462732,0.000462732,0.000462732
50,315.797,0.66251,1.4894,0.89138,0.73238,0.72185,0.78275,0.68039,0.57343,2.06057,0.83305,0.000463364,0.000463364,0.000463364
51,321.576,0.8381,1.64158,0.99637,0.73238,0.72185,0.78275,0.68039,0.57343,2.06057,0.83305,0.000459045,0.000459045,0.000459045
52,327.382,0.67332,1.49616,0.9408,0.75289,0.69784,0.7854,0.69134,0.5703,1.95052,0.83414,0.000450046,0.000450046,0.000450046
53,333.134,0.68235,1.28388,0.95394,0.75289,0.69784,0.7854,0.69134,0.5703,1.95052,0.83414,0.000441047,0.000441047,0.000441047
54,338.906,0.66621,1.28706,0.94419,0.68739,0.70614,0.77589,0.68168,0.5796,1.8263,0.8393,0.000432048,0.000432048,0.000432048
55,344.808,0.69809,1.26153,0.93711,0.68739,0.70614,0.77589,0.68168,0.5796,1.8263,0.8393,0.000423049,0.000423049,0.000423049
56,350.623,0.71295,1.37379,0.9595,0.7598,0.72861,0.79088,0.69242,0.56533,1.70409,0.83759,0.000414049,0.000414049,0.000414049
57,356.648,0.72688,1.76881,0.98139,0.7598,0.72861,0.79088,0.69242,0.56533,1.70409,0.83759,0.00040505,0.00040505,0.00040505
58,362.68,0.6418,1.43079,0.93912,0.66334,0.77707,0.79555,0.69983,0.54869,1.61548,0.83213,0.000396051,0.000396051,0.000396051
59,368.816,0.66283,1.28842,0.95427,0.66334,0.77707,0.79555,0.69983,0.54869,1.61548,0.83213,0.000387052,0.000387052,0.000387052
60,374.87,0.59129,1.5726,0.96289,0.64784,0.81629,0.7996,0.7085,0.5416,1.49078,0.83046,0.000378053,0.000378053,0.000378053
61,380.825,0.67724,1.31789,0.95063,0.64784,0.81629,0.7996,0.7085,0.5416,1.49078,0.83046,0.000369054,0.000369054,0.000369054
62,386.896,0.71576,1.22067,0.93976,0.65942,0.89186,0.79649,0.71624,0.52331,1.42072,0.82515,0.000360055,0.000360055,0.000360055
63,392.991,0.69317,1.23692,0.93534,0.65942,0.89186,0.79649,0.71624,0.52331,1.42072,0.82515,0.000351056,0.000351056,0.000351056
64,399.152,0.62201,1.23538,0.90536,0.62155,0.89872,0.78853,0.70757,0.51192,1.38867,0.82299,0.000342057,0.000342057,0.000342057
65,405.096,0.63964,1.37176,0.91908,0.62155,0.89872,0.78853,0.70757,0.51192,1.38867,0.82299,0.000333058,0.000333058,0.000333058
66,411.017,0.60085,1.41436,0.91,0.64471,0.88,0.78671,0.7061,0.52252,1.39975,0.82605,0.000324058,0.000324058,0.000324058
67,416.926,0.64392,1.19925,0.90726,0.64471,0.88,0.78671,0.7061,0.52252,1.39975,0.82605,0.000315059,0.000315059,0.000315059
68,422.879,0.68409,1.21529,0.92127,0.64459,0.92128,0.79578,0.7173,0.52165,1.398,0.82684,0.00030606,0.00030606,0.00030606
69,428.919,0.60417,1.27559,0.90523,0.64459,0.92128,0.79578,0.7173,0.52165,1.398,0.82684,0.000297061,0.000297061,0.000297061
70,434.944,0.71469,1.31537,0.95384,0.6524,0.89075,0.8009,0.72604,0.50128,1.39049,0.82382,0.000288062,0.000288062,0.000288062
71,440.851,0.55305,1.22336,0.8995,0.6524,0.89075,0.8009,0.72604,0.50128,1.39049,0.82382,0.000279063,0.000279063,0.000279063
72,446.816,0.65696,1.36887,0.91188,0.66142,0.90469,0.77157,0.70356,0.48516,1.38085,0.82109,0.000270064,0.000270064,0.000270064
73,452.813,0.582,1.21665,0.91662,0.66142,0.90469,0.77157,0.70356,0.48516,1.38085,0.82109,0.000261065,0.000261065,0.000261065
74,458.858,0.63988,1.22381,0.94185,0.67393,0.89557,0.79496,0.73213,0.47157,1.37795,0.81879,0.000252066,0.000252066,0.000252066
75,464.876,0.65471,1.20879,0.94778,0.67393,0.89557,0.79496,0.73213,0.47157,1.37795,0.81879,0.000243067,0.000243067,0.000243067
76,470.896,0.57417,1.27199,0.90422,0.6505,0.93705,0.7904,0.7281,0.47253,1.33414,0.8188,0.000234068,0.000234068,0.000234068
77,476.878,0.63403,1.20614,0.95143,0.6505,0.93705,0.7904,0.7281,0.47253,1.33414,0.8188,0.000225068,0.000225068,0.000225068
78,482.858,0.5563,1.2146,0.89077,0.63851,0.97798,0.80164,0.73752,0.47397,1.28532,0.81731,0.000216069,0.000216069,0.000216069
79,488.812,0.66271,1.15644,0.92396,0.63851,0.97798,0.80164,0.73752,0.47397,1.28532,0.81731,0.00020707,0.00020707,0.00020707
80,494.866,0.5713,1.14111,0.88961,0.63964,0.98701,0.79019,0.72986,0.46476,1.23591,0.81462,0.000198071,0.000198071,0.000198071
81,500.932,0.53496,1.22538,0.87668,0.63964,0.98701,0.79019,0.72986,0.46476,1.23591,0.81462,0.000189072,0.000189072,0.000189072
82,506.872,0.56871,1.17383,0.91173,0.63892,0.99248,0.80878,0.74705,0.44882,1.18815,0.81244,0.000180073,0.000180073,0.000180073
83,512.869,0.56666,1.18127,0.8993,0.63892,0.99248,0.80878,0.74705,0.44882,1.18815,0.81244,0.000171074,0.000171074,0.000171074
84,518.84,0.58224,1.11753,0.92061,0.64312,0.96434,0.80603,0.74179,0.438,1.15087,0.81095,0.000162075,0.000162075,0.000162075
85,525.018,0.556,1.109,0.85791,0.64312,0.96434,0.80603,0.74179,0.438,1.15087,0.81095,0.000153076,0.000153076,0.000153076
86,531.19,0.55479,1.12378,0.8723,0.64156,0.95022,0.80631,0.74564,0.42862,1.12124,0.81002,0.000144077,0.000144077,0.000144077
87,537.159,0.59386,1.13765,0.93355,0.64156,0.95022,0.80631,0.74564,0.42862,1.12124,0.81002,0.000135077,0.000135077,0.000135077
88,543.274,0.60517,1.12522,0.89621,0.63957,0.98701,0.81172,0.75797,0.41316,1.09938,0.80712,0.000126078,0.000126078,0.000126078
89,549.342,0.58409,1.13885,0.9233,0.63957,0.98701,0.81172,0.75797,0.41316,1.09938,0.80712,0.000117079,0.000117079,0.000117079
90,555.529,0.5689,1.25549,0.91917,0.67784,0.94624,0.80081,0.74842,0.39912,1.08588,0.8038,0.00010808,0.00010808,0.00010808
91,561.637,0.47987,1.27339,0.86152,0.67784,0.94624,0.80081,0.74842,0.39912,1.08588,0.8038,9.9081e-05,9.9081e-05,9.9081e-05
92,567.709,0.47563,1.25353,0.84184,0.65399,0.97014,0.8082,0.75718,0.39542,1.07286,0.80267,9.00819e-05,9.00819e-05,9.00819e-05
93,573.59,0.45739,1.12601,0.83434,0.65399,0.97014,0.8082,0.75718,0.39542,1.07286,0.80267,8.10828e-05,8.10828e-05,8.10828e-05
94,579.544,0.4733,1.16454,0.85153,0.64211,0.99229,0.78818,0.7397,0.39936,1.06806,0.80342,7.20837e-05,7.20837e-05,7.20837e-05
95,585.542,0.47041,1.35535,0.85565,0.64211,0.99229,0.78818,0.7397,0.39936,1.06806,0.80342,6.30846e-05,6.30846e-05,6.30846e-05
96,591.45,0.45219,1.09484,0.86091,0.67025,0.95711,0.8092,0.75745,0.40096,1.06625,0.80387,5.40855e-05,5.40855e-05,5.40855e-05
97,597.239,0.46508,1.13921,0.83454,0.67025,0.95711,0.8092,0.75745,0.40096,1.06625,0.80387,4.50864e-05,4.50864e-05,4.50864e-05
98,603.4,0.4511,1.14452,0.85551,0.64089,0.99274,0.80024,0.74971,0.40062,1.06463,0.80392,3.60873e-05,3.60873e-05,3.60873e-05
99,609.208,0.45647,1.25631,0.8553,0.64089,0.99274,0.80024,0.74971,0.40062,1.06463,0.80392,2.70882e-05,2.70882e-05,2.70882e-05
100,615.32,0.42401,1.12793,0.80223,0.66222,0.96066,0.80861,0.75943,0.40021,1.06104,0.8044,1.80891e-05,1.80891e-05,1.80891e-05
